,Size,Year,Title,Price,size*,multiplier*,base*,Edition,Left,Passage,Printed,filename,source filename,,,,,,,,
,20x20,2022,Styx,1088,3,8,1700,11,11,"Scraps of reminiscences,
Blasting through her mind like an electrical current
Winding matter",y,intraverses_15,20x20_in water_clean_next_clean-up__.jpg,,,,,,,,
,30x20,2022,Still,1530,4,9,1700,11,11,"Pealing time, off all the scatter,
To a layer, where we, quite simply, know, Accept, understand and anything else is just irrelevant.
Taking a risk, of going bare,
You yourself a manifest of what and why it is,
Heart beating to affirm a single truth,
That you would’ve not taken it
Any other way.",y,intraverses_16,20x30_composite__.jpg,,,,,,,,
,20x30,2021,Night,1360,4,8,1700,11,11,"Her shadow trembling
Like a curtain to an outside reality
Thin baffle",y,intraverses_17,20x30_DSC_5068-composite.jpg,,,,,,,,
,20x30,2021,Action,1530,4,9,1700,11,11,"In tired violence
Underneath ones skin
There is an end and the beginning
Looking to surrender",y,intraverses_18,20x30_DSC_5307-composite.jpg,,,,,,,,
,20x30,2021,Serenity,1530,4,9,1700,11,11,"Among the things
That are our food, comfort, entertainment, profit, delusion of forward movement,
How much of it is our life?",y,intraverses_19,20x30_DSC_5326-separation.jpg,,,,,,,,
,30x20,2022,Manifest,1530,4,9,1700,11,10,"Committing to future,
By the flames of your past;
Gentle upheaval.",y,intraverses_20,20x30_DSC3232_new_main_lab__.jpg,,,,,,,,
,30x20,2022,In Light,1360,4,8,1700,11,11,"Dissected by darkness, light..
Through his reflection’s negative,
Laughing abyss",y,intraverses_21,20x30_DSC5835-1.jpg,,,,,,,,
,20x30,2022,Inner Line,1530,4,9,1700,11,11,"Freedom to choose
To hold on
To your own music",y,intraverses_22,20x30_DSC6431.jpg,,,,,,,,
,20x30,2021,Reverse,1530,4,9,1700,11,11,"A little drop
A tiny step
Right through the heart
Of her cassette
Playing on repeat
And simply falling
Over and again
The curtain of tomorrow",y,intraverses_23,20x30_DSC7558-1.jpg,,,,,,,,
,30x24,2022,Gravity,1683,4.5,9,1700,11,11,"Gravity of things we truly loved,
Growing through a skin
Of who we came to be",y,intraverses_24,24x30_DSC4608_lab_.jpg,,,,,,,,
,36x24,2022,Distortions,1836,5,9,1700,11,10,"Places we come to see and things we leave in them — when the time curls up there is nothing else, but those; neither there is any escaping it.",y,intraverses_25,24x36_DCS70__05_27_lab.jpg,,,,,,,,
,36x24,2022,Currents down from far ago,1836,5,9,1700,11,11,"Making step and pushing chairs,
Hanging ties, and simply falling;
Currents down from far ago",y,intraverses_26,24x36_DSC2378-1_final.jpg,,,,,,,,
,36x24,2022,Dark,2040,5,10,1700,11,11,"Atop the surface wide and clear,
They stood observing order of the new.
One by the name of Dark.",y,intraverses_27,24x36_DSC4456-1__.jpg,,,,,,,,
,24x36,2022,Surrender,1836,5,9,1700,11,10,,y,intraverses_28,24x36_DSC6204-1___.jpg,,,,,,,,
,16x16,2021,Wire,918,2,9,1700,11,11,"Not expecting a call
Silence so dense you could slice it
Only her face still holding
An expression from a different time",y,intraverses_29,DSC_3014_prep.jpg,,,,,,,,
,20x30,2021,Trigger,1088,3,8,1700,11,11,"A trigger pulled..,
Seeing it through.
From now to the end of forever.",y,intraverses_30,DSC_4918_сс-exp.jpg,,,,,,,,
,20x20,2021,A glimpse of darkness,1360,3,10,1700,11,11,"In the wast viscous darkness
A glimpse of longer than there will ever be
Watching us",y,intraverses_31,DSC_4996-composite.jpg,,,,,,,,
,24x36,2021,Thoughts of time,2040,5,10,1700,11,11,"Same old friend,
burning thoughts of younger time
With everything to lose",y,intraverses_32,DSC_5275-composite.jpg,,,,,,,,
,20x30,2021,Genesis12,1700,4,10,1700,11,11,"Now the earth was formless and empty, darkness was over the face of the deep, and the Spirit of God was hovering over the surface of the waters.",y,intraverses_33,DSC_5446-composite-v1.jpg,,,,,,,,
,36x24,2023,Reaching out,2040,5,10,1700,11,11,"Reaching out, touching faith
One religion, broadcasting answer
So simply and so vividly",y,intraverses_34,24x36_DSC0267-1_.jpg,,,,,,,,
,24x36,2023,Space,2244,5,11,1700,11,11,"Darkness asking,
To repeat an oldest story.
Hanging on,
To see a turn anew",y,intraverses_35,24x36_Astro_comp_vertical_v7__.jpg,,,,,,,,
,30x20,2024,Verity of letting go,816,3,6,1700,11,11,"Scapes of layers;
Ever slipping verity
Of letting go",y,intraverses_36,16x24_paola_comp_4______.jpg,,,,,,,,$65.14
,20x30,2023,Moonchild,1088,3,8,1700,11,11,,y,intraverses_37,20x30_DSC0516___.jpg,,,,,,,,
,20x30,2024,Bubble,952,3,7,1700,11,11,"Looking back, to see the future
The bubble of your own paradigm",y,intraverses_38,20x30_DSC0778-1.jpg,,,,,,,,
,30x20,2024,Versions,1224,3,9,1700,11,11,"Dropping masks and closes, leaving
fears by the door and coming naked
before all the versions of who you’ve been.",y,intraverses_39,20x30_composite-4___.jpg,,,,,,,,
,20x30,2023,Autumn,1224,3,9,1700,11,11,"How few is left
Of this Autumn
And ghostly aims afar

Of thought not mine
Just guesses
Seen in full, to the dregs

How scary and sneaky
Your revelations
For why is grinning while whine.
Of dreams unsung, sweet moments
Shout - shout - shout",y,intraverses_40,20x30_DSC4791-1-Recovered_.jpg,,,,,,,,$129.13
,30x20,2025,Marks,1088,3,8,1700,11,11,"A book we read to remember
Fixations we have of the past
To find a mark, setting us free",,intraverses_41,comp_one_final_3200.jpg,,,,,,,,
,30x20,2025,Thunder,1224,3,9,1700,11,11,,,intraverses_42,,,,,,,,,
,30x20,2025,Freeda,1224,3,9,1700,11,11,"Be it God, or fate or soul
Only fire, will be watching
Your slowly.., melt, control.",,intraverses_43,Comp-1_b_3200.jpg,,,,,,,,
,36x24,2025,Once again,2040,5,10,1700,11,11,"Sundance of moonly shadows
Come around
Once again",,intraverses_44,Comp-5_3200.jpg,,,,,,,,
,36x24,2026,Remnants,2040,5,10,1700,11,11,"Amongst the remnants of times,
Gone and coming… exploding;
Summary notes.",,intraverses_45,,,,,,,,,
,36x24,2026,Vibrance,1224,3,9,1700,11,11,"Doors we open to forget,
Stranger things we saw;
Others - lost and said..,
What, are we waiting for",,intraverses_46,Comp-2_b_4200.jpg,,,,,,,,
,30x20,2026,"Light and Water
",952,3,7,1700,11,11,,,intraverses_47,,,,,,,,,
